"StatID","TeamID","SeasonType","Season","Name","Team","Wins","Losses","OpponentPosition","Possessions","GlobalTeamID","Updated","Games","FantasyPoints","Minutes","Seconds","FieldGoalsMade","FieldGoalsAttempted","FieldGoalsPercentage","EffectiveFieldGoalsPercentage","TwoPointersMade","TwoPointersAttempted","TwoPointersPercentage","ThreePointersMade","ThreePointersAttempted","ThreePointersPercentage","FreeThrowsMade","FreeThrowsAttempted","FreeThrowsPercentage","OffensiveRebounds","DefensiveRebounds","Rebounds","OffensiveReboundsPercentage","DefensiveReboundsPercentage","TotalReboundsPercentage","Assists","Steals","BlockedShots","Turnovers","PersonalFouls","Points","TrueShootingAttempts","TrueShootingPercentage","PlayerEfficiencyRating","AssistsPercentage","StealsPercentage","BlocksPercentage","TurnOversPercentage","UsageRatePercentage","FantasyPointsFanDuel","FantasyPointsDraftKings","FantasyPointsYahoo","PlusMinus","DoubleDoubles","TripleDoubles","FantasyPointsFantasyDraft","IsClosed","LineupConfirmed","LineupStatus","OpponentStat__StatID","OpponentStat__TeamID","OpponentStat__SeasonType","OpponentStat__Season","OpponentStat__Name","OpponentStat__Team","OpponentStat__Wins","OpponentStat__Losses","OpponentStat__OpponentPosition","OpponentStat__Possessions","OpponentStat__GlobalTeamID","OpponentStat__Updated","OpponentStat__Games","OpponentStat__FantasyPoints","OpponentStat__Minutes","OpponentStat__Seconds","OpponentStat__FieldGoalsMade","OpponentStat__FieldGoalsAttempted","OpponentStat__FieldGoalsPercentage","OpponentStat__EffectiveFieldGoalsPercentage","OpponentStat__TwoPointersMade","OpponentStat__TwoPointersAttempted","OpponentStat__TwoPointersPercentage","OpponentStat__ThreePointersMade","OpponentStat__ThreePointersAttempted","OpponentStat__ThreePointersPercentage","OpponentStat__FreeThrowsMade","OpponentStat__FreeThrowsAttempted","OpponentStat__FreeThrowsPercentage","OpponentStat__OffensiveRebounds","OpponentStat__DefensiveRebounds","OpponentStat__Rebounds","OpponentStat__OffensiveReboundsPercentage","OpponentStat__DefensiveReboundsPercentage","OpponentStat__TotalReboundsPercentage","OpponentStat__Assists","OpponentStat__Steals","OpponentStat__BlockedShots","OpponentStat__Turnovers","OpponentStat__PersonalFouls","OpponentStat__Points","OpponentStat__TrueShootingAttempts","OpponentStat__TrueShootingPercentage","OpponentStat__PlayerEfficiencyRating","OpponentStat__AssistsPercentage","OpponentStat__StealsPercentage","OpponentStat__BlocksPercentage","OpponentStat__TurnOversPercentage","OpponentStat__UsageRatePercentage","OpponentStat__FantasyPointsFanDuel","OpponentStat__FantasyPointsDraftKings","OpponentStat__FantasyPointsYahoo","OpponentStat__PlusMinus","OpponentStat__DoubleDoubles","OpponentStat__TripleDoubles","OpponentStat__FantasyPointsFantasyDraft","OpponentStat__IsClosed","OpponentStat__LineupConfirmed","OpponentStat__LineupStatus","OpponentStat__OpponentStat"
"576657","3","1","2019","Atlanta Hawks","ATL","29","53","null","12408.2","20000003","2019-06-24T22:18:51","82","25856.4","28790","0","4918.4","10909.8","65.4","75.7","3371.2","6510.5","75.1","1547.2","4399.3","51.0","2092.4","2781.1","109.0","1384.8","4096.2","5481.0","null","null","null","3071.1","978.8","607.6","1976.4","2801.4","13476.3","12133.5","80.5","null","null","null","null","null","null","27442.7","28094.5","27442.7","-3581.5","133.4","2.1","28094.5","False","null","Scrambled","576679","3","1","2019","Atlanta Hawks","ATL","53","29","null","12408.2","20000003","2019-06-24T22:18:51","82","27465.9","28790","81","5086.6","10754.6","68.6","78.4","3617.8","6665.6","78.7","1468.8","4089.0","52.1","2550.6","3365.4","109.9","1263.0","4210.8","5473.8","null","null","null","3192.9","1174.5","649.6","1732.8","2634.6","14192.6","12235.4","84.1","null","null","null","null","null","null","29290.0","29538.3","29290.0","3588.8","123.2","12.6","29538.3","False","null","Scrambled","null"
"576661","8","1","2019","Brooklyn Nets","BKN","42","40","null","12094.4","20000008","2019-06-24T22:18:51","82","25050.6","28941","62","4783.6","10661.8","65.1","75.4","3265.4","6362.6","74.4","1518.2","4299.2","51.2","2250.4","3021.8","108.0","1303.6","4226.8","5530.3","null","null","null","2831.8","780.1","491.6","1712.4","2553.4","13335.6","11991.4","80.6","null","null","null","null","null","null","26322.3","27070.8","26322.3","-50.8","85.6","0.0","27070.8","False","null","Scrambled","576683","8","1","2019","Brooklyn Nets","BKN","40","42","null","12094.4","20000008","2019-06-24T22:18:51","82","25783.5","29000","25","5019.9","10999.7","66.1","74.2","3790.3","7395.0","74.4","1229.6","3604.7","49.4","2095.2","2720.2","111.6","1309.4","4194.8","5504.2","null","null","null","2820.2","926.6","626.4","1522.5","2623.0","13364.6","12196.6","79.5","null","null","null","null","null","null","27336.4","27663.1","27336.4","50.8","142.1","10.2","27663.1","False","null","Scrambled","null"
"575727","9","1","2019","Boston Celtics","BOS","49","33","null","11852.6","20000009","2019-06-24T22:18:51","82","26260.4","28707","54","5006.8","10770.6","67.4","77.4","3510.4","6668.6","76.3","1496.4","4102.0","52.9","1861.8","2320.0","116.3","1167.2","4136.8","5304.1","null","null","null","3126.2","1025.2","630.8","1477.6","2424.4","13371.9","11791.4","82.2","null","null","null","null","null","null","27916.3","28136.5","27916.3","2647.7","79.8","4.2","28136.5","False","null","Scrambled","575731","9","1","2019","Boston Celtics","BOS","33","49","null","11852.6","20000009","2019-06-24T22:18:51","82","24377.8","28653","33","4693.6","10464.6","65.1","74.5","3324.8","6480.0","74.4","1368.8","3984.6","49.9","2070.6","2711.5","110.8","1234.0","4216.6","5450.6","null","null","null","2811.6","804.8","459.6","1735.6","2320.0","12826.7","11657.7","79.8","null","null","null","null","null","null","25642.2","26391.8","25642.2","-2647.7","121.8","6.3","26391.8","False","null","Scrambled","null"
"576656","2","1","2019","Charlotte Hornets","CHA","39","43","null","11760.4","20000002","2019-06-24T22:18:51","82","25063.1","28774","20","4780.6","10674.9","65.0","74.5","3364.0","6639.6","73.5","1416.6","4035.4","50.9","2189.5","2747.8","115.6","1180.3","4028.1","5208.4","null","null","null","2762.2","857.0","587.2","1386.2","2247.5","13167.4","11883.9","80.3","null","null","null","null","null","null","26507.3","26807.6","26507.3","-646.7","55.1","0.0","26807.6","False","null","Scrambled","576678","2","1","2019","Charlotte Hornets","CHA","43","39","null","11760.4","20000002","2019-06-24T22:18:51","82","25993.7","28754","0","4982.2","10601.0","68.2","78.0","3543.8","6614.9","77.7","1438.4","3986.0","52.3","1895.2","2407.0","114.1","1196.2","4250.0","5446.2","null","null","null","3092.8","819.2","713.4","1544.2","2444.7","13298.0","11660.0","82.6","null","null","null","null","null","null","27526.4","27961.8","27526.4","652.5","130.5","8.4","27961.8","False","null","Scrambled","null"
"577255","11","1","2019","Chicago Bulls","CHI","22","60","null","11835.7","20000011","2019-06-24T22:18:51","82","23668.2","28862","77","4735.7","10447.2","65.7","73.2","3655.4","7368.9","71.9","1080.2","3078.4","50.9","1925.6","2457.8","113.5","1041.1","4058.6","5099.6","null","null","null","2605.6","874.4","509.0","1603.7","2411.4","12477.2","11528.7","78.4","null","null","null","null","null","null","25051.5","25376.1","25051.5","-4993.8","74.0","0.0","25376.1","False","null","Scrambled","577259","11","1","2019","Chicago Bulls","CHI","60","22","null","11835.7","20000011","2019-06-24T22:18:51","82","26243.0","28862","45","5022.8","10608.2","68.6","78.4","3587.3","6680.2","77.9","1435.5","3928.0","52.9","1996.6","2617.2","110.6","1194.8","4326.8","5521.6","null","null","null","3036.3","870.0","685.8","1526.8","2224.3","13477.8","11759.8","83.1","null","null","null","null","null","null","27798.8","28182.9","27798.8","4999.6","116.0","8.4","28182.9","False","null","Scrambled","null"
"576663","12","1","2019","Cleveland Cavaliers","CLE","19","63","null","11458.6","20000012","2019-06-24T22:18:51","82","22813.7","28645","0","4624.0","10416.8","64.4","72.9","3395.9","6954.2","70.8","1228.2","3462.6","51.5","1945.9","2456.3","114.8","1274.6","3797.6","5072.1","null","null","null","2462.1","774.3","282.8","1502.2","2380.9","12422.2","11497.6","78.3","null","null","null","null","null","null","23870.8","24567.4","23870.8","-5713.0","89.9","0.0","24567.4","False","null","Scrambled","576685","12","1","2019","Cleveland Cavaliers","CLE","63","19","null","11458.6","20000012","2019-06-24T22:18:51","82","25988.2","28645","0","5131.6","10364.6","71.8","81.8","3704.8","6609.1","81.3","1426.8","3755.5","55.1","1874.8","2436.0","111.6","1133.9","4110.8","5244.6","null","null","null","3055.2","823.6","665.6","1431.2","2308.4","13564.8","11436.4","86.0","null","null","null","null","null","null","27477.4","27836.0","27477.4","5713.0","97.2","10.5","27836.0","False","null","Scrambled","null"
"576674","25","1","2019","Dallas Mavericks","DAL","33","49","null","11764.6","20000025","2019-06-24T22:18:51","82","24525.6","28681","0","4613.9","10326.9","64.8","75.3","3132.0","5974.0","76.0","1481.9","4352.9","49.3","2234.4","3010.2","107.6","1206.4","4181.8","5388.2","null","null","null","2781.1","772.8","509.0","1619.6","2392.5","12944.2","11651.4","80.5","null","null","null","null","null","null","25807.4","26530.6","25807.4","-761.2","110.2","13.0","26530.6","False","null","Scrambled","576696","25","1","2019","Dallas Mavericks","DAL","49","33","null","11764.6","20000025","2019-06-24T22:18:51","82","25307.9","28685","48","4867.6","10608.2","66.6","75.7","3536.6","6741.0","76.1","1331.1","3867.2","49.9","2030.0","2612.9","112.7","1212.2","4118.0","5330.2","null","null","null","2916.0","932.4","533.6","1490.6","2763.7","13096.4","11757.9","80.8","null","null","null","null","null","null","26773.8","27185.3","26773.8","765.6","121.8","11.6","27185.3","False","null","Scrambled","null"
"576669","20","1","2019","Denver Nuggets","DEN","54","28","null","11583.9","20000020","2019-06-24T22:18:51","82","26023.6","28608","0","4986.6","10706.8","67.6","76.4","3677.2","6978.8","76.4","1309.4","3728.0","50.9","1876.3","2485.3","109.5","1409.4","4106.4","5515.8","null","null","null","3255.2","919.3","526.4","1528.3","2383.8","13158.8","11800.3","80.9","null","null","null","null","null","null","27469.2","27942.2","27469.2","2349.0","132.0","17.4","27942.2","False","null","Scrambled","576691","20","1","2019","Denver Nuggets","DEN","28","54","null","11583.9","20000020","2019-06-24T22:18:51","82","24538.1","28613","57","4706.7","10271.8","66.4","75.5","3420.6","6475.7","76.6","1286.2","3796.1","49.2","1989.4","2641.9","109.2","1158.6","3893.2","5051.8","null","null","null","2923.2","884.5","590.2","1547.2","2428.8","12689.0","11434.2","80.5","null","null","null","null","null","null","26012.7","26368.2","26012.7","-2350.4","104.4","4.2","26368.2","False","null","Scrambled","null"
"576665","14","1","2019","Detroit Pistons","DET","41","41","null","11598.9","20000014","2019-06-24T22:18:51","82","24228.2","28790","19","4618.2","10495.1","63.8","73.8","3178.4","6355.4","72.5","1439.8","4139.8","50.5","2051.8","2744.8","108.3","1357.2","3990.4","5347.6","null","null","null","2675.2","825.0","480.0","1539.9","2626.0","12728.1","11702.8","78.9","null","null","null","null","null","null","25533.2","26185.6","25533.2","-147.9","130.5","4.2","26185.6","False","null","Scrambled","576687","14","1","2019","Detroit Pistons","DET","41","41","null","11598.9","20000014","2019-06-24T22:18:51","82","24447.3","28819","86","4743.0","10105.0","68.0","76.3","3603.2","6802.0","76.8","1139.7","3303.1","50.0","2131.5","2823.2","109.5","1083.2","4109.3","5192.4","null","null","null","2813.0","820.7","607.6","1616.8","2534.6","12757.1","11347.2","81.5","null","null","null","null","null","null","25875.5","26217.8","25875.5","139.2","88.4","0.0","26217.8","False","null","Scrambled","null"
"575729","26","1","2019","Golden State Warriors","GS","57","25","null","12010.1","20000026","2019-06-24T22:18:51","82","27529.6","28717","0","5237.4","10673.4","71.2","81.9","3661.2","6578.6","80.8","1576.2","4094.8","55.8","1941.6","2424.4","116.1","1155.6","4335.5","5491.2","null","null","null","3498.8","906.2","761.2","1635.6","2547.6","13992.5","11740.2","86.4","null","null","null","null","null","null","29197.1","29501.3","29197.1","3842.5","58.0","4.2","29501.3","False","null","Scrambled","575733","26","1","2019","Golden State Warriors","GS","25","57","null","12010.1","20000026","2019-06-24T22:18:51","82","25022.2","28777","64","4806.8","10833.0","64.4","73.7","3422.0","6841.1","72.5","1384.8","3991.8","50.3","2225.8","2881.2","112.1","1284.7","3987.5","5272.2","null","null","null","2884.0","913.5","427.8","1537.0","2321.4","13224.0","12100.7","79.2","null","null","null","null","null","null","26363.5","26929.4","26363.5","-3842.5","114.6","10.5","26929.4","False","null","Scrambled","null"
"576671","22","1","2019","Houston Rockets","HOU","53","29","null","11650.9","20000022","2019-06-24T22:18:51","82","25031.8","28754","0","4666.1","10386.4","65.1","78.6","2747.8","4990.9","79.9","1918.4","5395.4","51.6","2293.9","2901.4","114.7","1212.2","3788.8","5001.0","null","null","null","2524.4","1015.0","587.2","1505.1","2614.4","13544.4","11663.0","84.2","null","null","null","null","null","null","26634.0","27254.6","26634.0","2834.8","162.4","11.6","27254.6","False","null","Scrambled","576693","22","1","2019","Houston Rockets","HOU","29","53","null","11650.9","20000022","2019-06-24T22:18:51","82","24762.8","28754","6","4803.8","10303.7","67.6","76.1","3598.9","6759.9","77.1","1205.0","3543.8","49.3","2164.8","2818.8","111.4","1303.6","4096.2","5399.8","null","null","null","2798.5","880.2","535.0","1722.6","2378.0","12977.5","11544.0","81.5","null","null","null","null","null","null","26178.0","26690.2","26178.0","-2834.8","123.2","8.4","26690.2","False","null","Scrambled","null"
"576664","13","1","2019","Indiana Pacers","IND","48","34","null","11615.0","20000013","2019-06-24T22:18:51","82","25268.6","28588","58","4915.5","10345.8","68.9","76.8","3786.0","7328.3","75.0","1129.6","3017.4","54.2","1882.1","2504.2","109.0","1104.9","4010.7","5115.6","null","null","null","3085.6","1033.8","585.8","1580.5","2311.3","12842.6","11447.6","81.3","null","null","null","null","null","null","26888.2","27036.0","26888.2","1986.5","104.4","0.0","27036.0","False","null","Scrambled","576686","13","1","2019","Indiana Pacers","IND","34","48","null","11615.0","20000013","2019-06-24T22:18:51","82","24261.4","28572","77","4606.6","10235.6","65.2","74.8","3255.2","6417.7","73.5","1351.4","3817.8","51.3","1882.1","2491.1","109.6","1249.9","3941.1","5191.0","null","null","null","2908.7","881.6","616.2","1773.4","2380.9","12446.8","11331.6","79.6","null","null","null","null","null","null","25759.2","26259.5","25759.2","-1970.6","111.6","8.4","26259.5","False","null","Scrambled","null"
"576675","28","1","2019","Los Angeles Clippers","LAC","48","34","null","12111.6","20000028","2019-06-24T22:18:51","82","25568.4","28754","58","4906.8","10408.1","68.3","76.7","3716.4","7337.0","73.5","1190.4","3071.1","56.3","2686.8","3393.0","114.8","1154.2","4257.2","5411.4","null","null","null","2856.5","812.0","558.2","1641.4","2773.8","13690.9","11901.0","83.4","null","null","null","null","null","null","26938.7","27385.4","26938.7","501.7","85.6","2.1","27385.4","False","null","Scrambled","576697","28","1","2019","Los Angeles Clippers","LAC","34","48","null","12111.6","20000028","2019-06-24T22:18:51","82","26313.4","28754","0","4963.4","10862.0","66.3","74.5","3732.3","7270.3","74.4","1231.0","3591.6","49.7","2431.6","3130.6","112.7","1341.2","4097.7","5439.0","null","null","null","2865.2","981.6","722.1","1508.0","2855.0","13589.4","12239.4","80.5","null","null","null","null","null","null","28017.2","28146.3","28017.2","-507.5","121.8","8.4","28146.3","False","null","Scrambled","null"
